..........................] - ETA: 6:01 - loss: 2.4862
 8016/58608 [===>..........................] - ETA: 5:42 - loss: 2.4987
 8032/58608 [===>..........................] - ETA: 5:42 - loss: 2.4977
 8048/58608 [===>..........................] - ETA: 5:42 - loss: 2.4979
 8064/58608 [===>..........................] - ETA: 5:41 - loss: 2.4991
 8080/58608 [===>..........................] - ETA: 5:41 - loss: 2.5010
 8096/58608 [===>..........................] - ETA: 5:41 - loss: 2.5010
 8112/58608 [===>..........................] - ETA: 5:41 - loss: 2.5007
 8128/58608 [===>..........................] - ETA: 5:41 - loss: 2.5012
 8144/58608 [===>..........................] - ETA: 5:41 - loss: 2.5010
 8160/58608 [===>..........................] - ETA: 5:41 - loss: 2.5014
 8176/58608 [===>..........................] - ETA: 5:41 - loss: 2.5010
 8192/58608 [===>..........................] - ETA: 5:41 - loss: 2.5006
 8208/58608 [===>..........................] - ETA: 5:41 - loss: 2.5003
 8224/58608 [===>..........................] - ETA: 5:40 - loss: 2.4997
 8240/58608 [===>..........................] - ETA: 5:40 - loss: 2.4994
 8256/58608 [===>..........................] - ETA: 5:40 - loss: 2.4996
 8272/58608 [===>..........................] - ETA: 5:40 - loss: 2.5000
 8288/58608 [===>..........................] - ETA: 5:40 - loss: 2.5000
 8304/58608 [===>..........................] - ETA: 5:40 - loss: 2.4993
 8320/58608 [===>..........................] - ETA: 5:40 - loss: 2.5008
 8336/58608 [===>..........................] - ETA: 5:40 - loss: 2.5018
 8352/58608 [===>..........................] - ETA: 5:40 - loss: 2.5018
 8368/58608 [===>..........................] - ETA: 5:39 - loss: 2.5024
 8384/58608 [===>..........................] - ETA: 5:39 - loss: 2.5026
 8400/58608 [===>..........................] - ETA: 5:39 - loss: 2.5014
 8416/58608 [===>..........................] - ETA: 5:39 - loss: 2.5005
 8432/58608 [===>..........................] - ETA: 5:39 - loss: 2.5002
 8448/58608 [===>..........................] - ETA: 5:39 - loss: 2.4991
 8464/58608 [===>..........................] - ETA: 5:39 - loss: 2.4999
 8480/58608 [===>..........................] - ETA: 5:39 - loss: 2.4989
 8496/58608 [===>..........................] - ETA: 5:39 - loss: 2.4985
 8512/58608 [===>..........................] - ETA: 5:38 - loss: 2.4975
 8528/58608 [===>..........................] - ETA: 5:38 - loss: 2.4967
 8544/58608 [===>..........................] - ETA: 5:38 - loss: 2.4978
 8560/58608 [===>..........................] - ETA: 5:38 - loss: 2.4987
